filename,width,height,class,xmin,ymin,xmax,ymax
0447-8lj58-Px0TU_jpg.rf.114fb89ea745c0aa13193722dd6a79b3.jpg,640,640,0,68,0,580,640
k5eKqIhL9B4_jpg.rf.0ae7e4f8cbe779cfc9f5c42d92201df2.jpg,640,640,0,170,77,387,337
0728-XOcH-bl46R0_jpg.rf.0df968c03681c79597da779179eeb4c1.jpg,640,640,0,0,134,206,583
0728-XOcH-bl46R0_jpg.rf.0df968c03681c79597da779179eeb4c1.jpg,640,640,0,108,208,337,617
0728-XOcH-bl46R0_jpg.rf.0df968c03681c79597da779179eeb4c1.jpg,640,640,0,304,275,612,640
1809-dZLBvzmcsJY_jpg.rf.16ac3ce44bd855cebdb96404908dd8a2.jpg,640,640,0,106,51,474,530
hOg0SZ0X2-c_jpg.rf.2263c6e95993cfb64a8252ed575e2a23.jpg,640,640,0,40,109,640,586
1257-L6n1PUZZmVo_jpg.rf.09c6f477efb5697d441916bb47cdee9a.jpg,640,640,0,64,218,159,468
0910-c_x3_ccZnbA_jpg.rf.1a7d293ddc864cd21d4f242c1b9a5114.jpg,640,640,0,15,27,346,386
0777-PixFVQ9TE9s_jpg.rf.04c215087690e5e50173da7036f1b8f2.jpg,640,640,0,77,186,475,524
0770-CtmcsbfWZLY_jpg.rf.0bb4a4b27af29faf9ccabfd44555706b.jpg,640,640,0,125,45,640,632
0446-RnjoT07nBxo_jpg.rf.1b1513fd3c0b6dcf9def80f9491f77a0.jpg,640,640,0,128,123,531,602
0674-sBoCWJLs8uY_jpg.rf.26f0e0c914d91ea4866e4bf080d595ca.jpg,640,640,0,63,82,541,501
1977-4LQfxtdrkKQ_jpg.rf.253765ec41210b39ee43899c5fc3e5f8.jpg,640,640,0,106,0,499,324
0910-c_x3_ccZnbA_jpg.rf.1c773ba72e5b9d6bddf2f5ab621b0517.jpg,640,640,0,15,27,346,386
0879-4Wp-DEqtfqU_jpg.rf.162c223c0c439222f86c7b8b25849a17.jpg,640,640,0,168,388,414,518
0728-XOcH-bl46R0_jpg.rf.33c36f62a16058f8c113c47b9dadde94.jpg,640,640,0,0,134,206,583
0728-XOcH-bl46R0_jpg.rf.33c36f62a16058f8c113c47b9dadde94.jpg,640,640,0,108,208,337,617
0728-XOcH-bl46R0_jpg.rf.33c36f62a16058f8c113c47b9dadde94.jpg,640,640,0,304,275,612,640
1696-BWDKugpKq64_jpg.rf.48dd259d7f130e0f8386387ffcffdd07.jpg,640,640,0,236,60,551,437
1486-Cln_DSUH7XY_jpg.rf.2e1485a5c5ac01fba517ce636b46b9e7.jpg,640,640,0,51,205,411,538
1486-Cln_DSUH7XY_jpg.rf.2e1485a5c5ac01fba517ce636b46b9e7.jpg,640,640,0,496,215,640,353
0717-9MuSp4pGMWY_jpg.rf.3e2e5459341590e55b89ccce44305a53.jpg,640,640,0,193,106,547,445
0674-sBoCWJLs8uY_jpg.rf.2ba6c268ecca3f5f3f944fd604d09453.jpg,640,640,0,63,82,541,501
0770-CtmcsbfWZLY_jpg.rf.49bcb2925ec84e81809eaf65160817ba.jpg,640,640,0,125,45,640,632
hOg0SZ0X2-c_jpg.rf.2b0d351d00585168a8da5a05db4eb8cb.jpg,640,640,0,40,109,640,586
1105-jGxAdMJGDlc_jpg.rf.13a78a4dafbfccf0ca24003a776b359c.jpg,640,640,0,340,354,440,587
dPsICUqB36c_jpg.rf.3dd0799050fdc468d28c2b7412ea89ab.jpg,640,640,0,82,93,481,548
0777-PixFVQ9TE9s_jpg.rf.4a7f5069eb5949c279d438d69929a281.jpg,640,640,0,77,186,475,524
0942-9yX6OJwUR_A_jpg.rf.4e2f15763bf4c0d5577f1f42ee6c6c23.jpg,640,640,0,139,151,530,611
1977-4LQfxtdrkKQ_jpg.rf.3de5ab26804bec1084054b9e9db6197a.jpg,640,640,0,106,0,499,324
1836-UH6jun2MyNU_jpg.rf.5941023f853109aefc65f3df1d640cbf.jpg,640,640,0,0,0,500,621
0942-9yX6OJwUR_A_jpg.rf.19191e96e068f89f39ae6b574768ba49.jpg,640,640,0,139,151,530,611
kdBxmh5q5UE-1-_jpg.rf.65cface7498426c4654ad1b7af48d315.jpg,640,640,0,333,112,581,502
kdBxmh5q5UE-1-_jpg.rf.65cface7498426c4654ad1b7af48d315.jpg,640,640,0,58,152,358,522
1809-dZLBvzmcsJY_jpg.rf.6d038759795b077e0b376de3633a4b4d.jpg,640,640,0,106,51,474,530
0765-BoKzZLI4uV8_jpg.rf.62904de9c2a21579e3d59ca755583386.jpg,640,640,0,231,176,628,443
0626-Wtqc78zzq3I_jpg.rf.4e3639e741915e0f3d63a1a5f915fb46.jpg,640,640,0,0,27,494,640
0717-9MuSp4pGMWY_jpg.rf.75a57830eb675f260cc2b5c9cff2dc33.jpg,640,640,0,193,106,547,445
-e0QDP4sFro_jpg.rf.71824e68d2d6954fec7c7db197fc1052.jpg,640,640,0,192,88,338,226
-e0QDP4sFro_jpg.rf.71824e68d2d6954fec7c7db197fc1052.jpg,640,640,0,63,160,252,322
-e0QDP4sFro_jpg.rf.71824e68d2d6954fec7c7db197fc1052.jpg,640,640,0,102,236,617,535
1391-sDlvKTZhNVM_jpg.rf.7aba56614ceb242a98048240b8818f64.jpg,640,640,0,56,0,561,640
1495-VJiD_y4uTbw_jpg.rf.73ac67d30a0969501ba099013685b25c.jpg,640,640,0,0,47,344,637
0938-QTwIuPJxZzQ_jpg.rf.7fd9d9ab4046b3f720f58e367f63b92f.jpg,640,640,0,96,72,640,520
